1420,1282
578,553
191,219
1483,1370
782,891
74,76
531,498
43701,43512
11540,11153
1692,1660
2765,2683
0,0
733,704
0,0
1292,1256
113821,109487
2894,2851
2398,2262
1451,1408
5979,5870
1695,1644
2506,2455
99,99
2429,2120
4974,4927
197,196
0,0
413,488
3063,2835
5142,5111
0,0
1005,970
1141,1114
1527,1567
596,581
371,306
2102,2093
1888,1855
47,42
227,206
48068,46021
16558,15506
1647,1566
2822,2798
0,0
536,500
0,0
2046,2096
135904,134664
2062,1844
3044,3297
1072,1276
5878,5884
1274,1290
5062,4503
160,183
2673,2515
3396,3364
608,594
38,34
713,583
4259,4283
3886,3737
0,0
1433,1417
1628,1693
1058,1077
816,864
120,125
2610,2499
585,576
165,145
884,869
64043,60731
25694,28548
0,0
0,0
0,0
890,957
0,0
1853,1776
173318,172988
2880,2829
2616,2463
5077,4552
10294,10654
3040,2889
4204,4156
197,204
5491,5139
5004,4849
426,430
205,202
429,348
1199,1124
15513,14559
0,0
1330,1402
2369,2250
2250,2138
1090,1367
723,716
2558,2902
607,609
319,334
1370,1554
71306,70211
27530,28776
0,179
0,64
0,0
1662,1650
0,0
3629,4438
42562,42004
1133,1126
1180,1050
227,203
1915,1841
448,539
1116,1073
36,38
512,496
1939,1744
234,199
98,103
306,313
125,153
635,617
0,0
303,322
626,613
393,372
333,343
42,35
594,622
18,19
0,0
77,74
22822,22671
6717,6721
0,0
0,0
0,0
186,207
0,0
547,510
161458,161186
2155,2415
2867,2895
2672,2788
10836,11719
2756,2801
5137,5604
377,366
2673,2768
5017,5195
17,16
4,4
2070,2042
3190,3502
0,0
0,0
2266,2281
3537,3696
4617,5037
2611,2759
531,579
2088,2148
155,177
13,11
491,683
67706,65218
24846,24228
2015,1914
4170,3939
0,0
2041,1991
0,0
4600,4410
211159,207987
3969,3902
3854,3681
255,318
14179,14006
2743,2455
11710,11544
482,452
3288,3996
6538,6181
96,96
41,41
1831,1822
5325,2481
496,2323
0,0
1271,1391
2112,1840
1534,1490
4397,4197
312,270
3266,3237
1171,1068
92,143
5667,5549
101982,99859
27762,27951
0,615
0,422
0,0
2752,2577
0,0
4034,4080
290145,290313
5693,5528
6292,5976
9476,9051
17532,16612
3720,3501
6065,5687
703,753
5051,4982
9960,9367
1055,849
41,38
1730,1381
7634,7011
8537,8770
0,0
1755,2131
4101,4024
3582,3249
1499,1539
658,593
4923,4800
1544,1595
0,0
4432,4604
114204,116923
52590,53645
3094,3007
4939,5019
0,0
2367,2236
0,0
6968,7442
162678,161744
4459,4559
4111,3802
3328,3214
7172,7223
2013,1834
1543,1519
130,105
3761,3644
7028,7097
573,518
49,48
10259,9510
2715,2507
5899,6136
0,0
853,840
1941,1850
2869,2759
2151,1909
751,781
1484,1409
1198,1163
149,142
2308,2323
69949,69792
21087,21832
0,0
0,0
0,0
1436,1422
0,0
3462,3806
119482,123682
2852,2899
1818,2059
2095,2270
5084,5099
1689,1606
3015,2927
84,77
1852,1335
5088,5202
122,118
61,69
645,766
148,149
16939,19470
0,0
1015,1071
488,536
768,673
988,808
454,468
1494,1428
465,469
306,316
124,121
52707,52157
11327,13199
2321,2283
2896,2839
0,0
705,644
0,0
1932,2624
185914,189042
3961,4231
3047,2909
3252,3459
10677,10561
3515,3780
5092,5192
570,508
2257,2259
6418,6954
1229,1211
2,2
2027,2188
3363,3533
7355,7367
0,0
824,817
2514,2471
3127,3134
1324,1427
176,157
2746,2846
1540,1541
294,297
2788,2547
79190,80214
28321,29044
1351,1300
2562,2512
0,0
1973,2033
0,0
4419,4548
28003,27544
657,653
679,689
652,636
1292,1262
453,446
489,486
52,78
488,466
1270,1224
104,99
0,0
313,339
556,403
406,488
0,0
497,470
303,293
362,344
177,182
243,251
372,386
0,0
0,0
147,135
14252,14055
3427,3301
53,48
65,67
0,0
159,169
0,0
535,574
68120,66119
1625,1642
1229,1229
960,973
2762,2742
925,824
1111,1164
45,41
928,953
2768,2745
227,202
0,0
1030,1030
403,443
3833,3183
0,0
282,270
512,464
771,743
606,619
663,639
870,766
7041,6870
531,518
400,388
27478,26829
7480,7407
868,788
1148,1150
0,0
328,306
0,0
1296,1191
53118,52861
1323,1227
1826,1716
2582,2523
3518,3454
2083,1779
1915,1882
207,195
1579,1530
1551,1566
1115,1107
0,0
358,325
784,607
4108,4227
0,0
130,124
660,735
1519,1496
608,611
102,94
1440,1364
72,66
0,0
234,209
17521,17950
5606,5743
0,0
0,0
0,0
493,476
